Uporabnik_idUporabnik;COUNT(*)
harsim;49
basketballer;49
tuemsi;49
ism;49
duplek;49
007jamesbond;49
prodlgy;49
krypto;49
erru;49
pogrebnik;49
revolution-g82b;49
jajcafedererska;49
matejmer;48
zeleleni;48
freezer91;48
sajrus;48
zlatorog00;48
nesreca;48
miha-ugv2;48
taadey;48
kwwc;48
galaktiko;48
batista;48
k-ren;48
tadex;48
banananjam-kyap;48
4crke;48
susha;48
bayern_fan;48
nurtuby;48
svizec17;48
igorgrablja;47
rundek;47
real-madrid-911y;47
bobicek;47
pet144;47
diiky;47
primzyyy777;47
energetik10;47
farmergirl;47
refused;47
sel;47
jaskelainen;46
aniika-clbn;46
inteligenca;46
boris-pelko;46
mrblack-m744;46
divaniti;46
semkoo;46
navijac22;46
delnand;46
tombenko88;46
horus1;46
cronus;46
socialniradikal;46
drfunk;46
leeloo1337;46
saintek;46
peter-f;46
franjop;46
pajkc_;46
jela-ixcx;46
annova;46
5tane;46
stromberg-25;46
gotche;45
bago11;45
nilaikori;45
mike1968;45
beny99;45
djmiki-2zmu;45
tgomly;45
obelix-complicus;45
l_matthaus_2006;45
kasilnca;45
severnik;45
slovenc07;45
big-l;45
bobothecat;45
bodimo_reaini;45
badass;45
pozitivc-c0uy;45
blublu-969n;45
deni-valencic;45
kyuss;45
mauko;44
dejand-cb0r;44
robaus;44
vsemogocni-0j1m;44
deeker;44
nad;44
xter;44
tomaz14;44
genesiss;44
palbinc;44
amaranth;44
true-blue-mb;44
neymar-iexo;44
jure-b95o;44
m_united;44
koksli;44
tiim;44
tigrica25;44
adidas_;44
zeebra;44
cl1t;44
samy-joe;44
guti;43
zelena-viola;43
dejanski;43
krku-ekov;43
sioxxos;43
lfcfan;43
majmun123;43
dacho;43
mc007;43
zuuzzi;43
rancid80;43
paul_scholes;43
prlek;43
kilzz;43
golu-ajoka;43
predrzni;43
slovenija-sport;43
bozo-miklavc;43
l-iga99;43
patriotslo;43
haby992;43
stormchaser;43
kilognoja;43
redline;43
redbik;43
red-john;43
pajo26;43
atal;43
alexxx;43
mutaito;43
akxrah;43
musty;43
rangert;43
aristotel9;43
matoxy;42
thorva;42
rgrojzde;42
sybelmyne;42
malosutra;42
sa-89;42
zyor;42
jkocja5;42
otman;42
dingec;42
peacemaker;42
sarcasmotron;42
kawac;42
banditosice;42
gaspersk;42
whisperer;41
redminer;41
simi1983;41
bluesy;41
jabba;41
borec-x50z;41
amfora;41
lykke;41
zanqo16;41
frutek77;41
olympic-spoh;41
3rac;41
generacija56;41
rokin;41
zaromet;41
pkozin;41
goridolinaokoli;41
extremist;41
dime-11;41
rgrilec;41
selines1;41
ratm;41
ribi-n241;41
vamis;41
compi;41
andershow8;41
aljaz9;41
heros;41
najks;41
mi;41
vragec;41
triomidva;41
cime_14;41
mucibuci;40
pok-luka;40
asci;40
en2;40
stiksmiks;40
dustinbrownn;40
kesjerdna;40
ffffff;40
adamski;40
prijazna_babica;40
quade;40
komar-g140;40
predujem;40
garmi-xd;40
ketrin;40
simzy-xnid;40
papi43;40
mufc-47r4;40
outsid3;40
karlie;40
guztl;40
obid83;40
think-tank-631f;40
m75;40
osabosa;40
snopy;40
skoro84;40
lucka8;39
air24;39
lolek11;39
urkeman;39
mirnican;39
rainbow1;39
mrmis;39
pudzian;39
the_domen;39
krucifiks-t4z2;39
badi;39
lopez;39
bicbozji;39
barca-barca;39
vinc44;39
mortir;39
mile952;39
groovemachine;39
cpl11;39
krepki;39
gannicus;39
luka26;39
kokimagic;39
obala_76;39
hug3c;38
dodres;38
zvonech;38
springbok;38
vivastar;38
nevidno-kolo;38
hedonist-ii6c;38
damjannoo;38
d4mj4n;38
barcelona-rohv;38
help;38
fen77;38
marcipan;38
parker123;38
antisteeler;38
dinose;38
thepero;38
rokobaroko-sqfh;38
b7;38
problem43;38
boltan;38
white88;38
graditelj;38
zeleni-gmajnar;38
zangetsu;38
goko;38
arsenal_henry;38
denis_525;38
boxi;38
treki;38
nimi;38
berger;38
ranbob;38
thiver;38
majmun-cita;38
pidy;37
gentlemen55;37
pof;37
pivk-hzux;37
debaser;37
del-r;37
navijac;37
borat-sagdijev;37
sim_bs;37
mihamiha;37
birba;37
lojze13;37
stari-pjer;37
favory;37
majster_;37
mihac84;37
lordskinny;37
henri;37
kristt;37
lyn19;37
mat89;37
armiranibeton;37
slo-ultras;37
somebody-vatv;37
kak-tus-biez;37
bostjan11-v70g;37
jume;37
von-rhein;37
gusztav;37
jurgen1888;37
z-n-b;37
kolnkista;37
prijatelj-89;37
ejsi-disi;37
a-sec;36
ajdna;36
unclesam;36
michael25;36
elaine;36
gasper2010;36
pravidoblica;36
dami79;36
lord6;36
pustos;36
lenipes;36
pirat321;36
burisk;36
si-g;36
nixon-v3hy;36
rjslo;36
zan-2v3l;36
grubi;36
medvedof;36
ponoru;36
koda-ayet;36
strojtech;36
vori;36
pametenkodrek;36
buhuhu;36
barcaboy10;36
kemik;36
kungocan;36
faketi;36
thesine;35
ihta;35
brus_;35
pjanc;35
dice;35
spider-web;35
benten;35
mudel;35
tantan;35
tibhar;35
stoychi;35
orchid;35
limpija;35
slovenecnadunaju;35
slovannn;35
yanker;35
mstrgar1;35
dkl;35
snowsantacruz;35
razorback;35
asmas;35
rac1;35
makoshark;35
amuntvalencia;35
bujko1;35
banananas;34
miki_7;34
mclaren-0kxb;34
sosed_lastnik;34
jaz;34
binder-dandet;34
matgab;34
borch;34
ciracara-pija;34
slaytanic;34
bobodobo;34
alcatraz-baie;34
pwnd-eqrs;34
alan;34
fico7;34
edx;34
piky-jcb2;34
gola;34
koman;34
deathblow;34
suros1;34
forsberg8;34
stanefiga;34
trolli;34
apnenc;34
ana-ms0z;34
tuva;33
rostavili;33
metza3;33
spo11;33
mmihaappravnikk;33
xcw;33
westy92;33
one_half1;33
ksela;33
divac;33
takanik;33
y-n-w-a;33
qwertz;33
eamir;33
hephaestus;33
tocernilec;33
ginobili;33
shooter;33
costella-kxx7;33
go-slovenija;33
fcbm;33
kravakonj;33
outofthisworld;33
wahaha;33
cik;33
bojler1234;33
sutna16;33
bilci;33
zaplotnik8;33
kenede;33
raurbef;33
senca-dk6t;33
komentator55;33
colonel;33
bujaka;33
fks;33
noksukaw;33
lao-wai;32
m00nchile;32
amigo-uvay;32
maneko;32
olimpicus;32
yassir;32
logar;32
anderson-007;32
hanziki;32
miran447;32
throll;32
dr-muc;32
obsidijan;32
krefeld;32
kva-dogaja;32
poppy;32
parsifal;32
maajde2;32
visioneuro;32
metodus;32
oliva-5mkj;32
white_star;32
intelekt;32
nobozos;32
greentroll88;32
glasilo;32
vzhodnik;32
rscyborg077;32
piceng;32
sam-zee;32
fabre;32
muki-miha;32
comando-2;32
reepsaag;32
heroj;32
ijagodn1;32
jmaster;31
klaymen;31
ynwa_man;31
pikimelkijad;31
tonson84;31
profesionalec;31
esp-eng-ned;31
epicness;31
pablooo94;31
hulk_machete;31
komplikator;31
matejblink;31
npolimpija;31
seb123;31
strucko-eesx;31
valerie;31
rok33;31
reiterinnen;31
rainman;31
rivaldo10;31
zvezdica_10;31
jur-47y9;31
klopca;31
kocinsky;31
zmaj-7;31
finki;31
strelc;31
prva-liga;31
vircace;31
fuckwad;31
slovan-trzn;31
sagrada;31
splinter-s94p;31
janez-krsnik;31
damche;31
skretpapir;31
signifera;31
maticko91;31
dragoon;31
8064;31
basa_v_skoljki;31
gladius;31
nekdo5;31
ganz;31
olupek;31
matlon;31
uvijek-vjerna;31
polarni123;31
pistacija;30
simcj;30
zagor;30
trapets;30
uefalona-antifcb-rnhq;30
nikkoc;30
alio;30
hockeymaster;30
billy-joe;30
xyxy;30
t-g;30
snjaper;30
buhtl75;30
pokica-epzo;30
rkc-rtv-fu;30
lesen;30
mato-jt4k;30
d-wade-3;30
cofotalcek;30
norton;30
hkj5880;30
stigmella7;30
michael;30
tomtom;30
mihaa;30
kohar38;30
delinquenthabits;30
sazonv;30
_zdeno_;30
iztok150;30
krec;30
ljolimpija;29
sellam-alejkum;29
sammy13;29
child_prodigy1;29
snegulj-ica;29
ptujvalenciacf;29
donmitja;29
robijezakon;29
gegi;29
ma79;29
felixon;29
dianbobo;29
scorpa;29
ham-kam;29
mihatekateka;29
judoka-z85v;29
sirtaki;29
znalac18;29
apbcn;29
kd35;29
karakala;29
decjun;29
bootsy-j6mf;29
raines;29
tiger123-uekz;29
xscrambler;29
tjunin;29
odojekk;29
pdesman;29
fur80;29
trooper-jnyy;29
johney;29
gekko;29
kranj-an;29
madera;29
lik;29
niss9x;29
kines;29
francoz-uug2;29
antecash;29
r-man;29
bona-4yeo;29
juksi;29
esrufmot;28
gorenjc123;28
matex10;28
godfrey;28
ales400;28
remix;28
screemer;28
napoleon-s6g7;28
n1fuzbaler;28
walter50;28
visionslovenija;28
badi27;28
mobydik;28
suzuki;28
oiimpija;28
enejg;28
19utd3;28
gogodj23;28
redwinger;28
dr-njohec;28
bobo966;28
nejko5;28
rockyv;28
richy;28
lipa;28
rrrrrrr;28
ajverson4;28
ce-ljan;28
urednik01;28
riddler;28
dalton1;28
ingodwetrust;28
moons;28
starababa;28
